f,Thursday,01:00,07:30,51
a,Saturday,16:00,21:30,51
p,Thursday,02:30,10:30,75
b,Saturday,00:30,07:30,90
j,Friday,07:00,16:30,100
o,Wednesday,15:30,23:30,84
m,Tuesday,14:30,23:00,60
f,Friday,01:30,07:30,97
o,Thursday,12:00,18:00,84
m,Sunday,04:00,11:30,53
i,Sunday,06:30,15:00,52
e,Tuesday,09:00,18:30,74
a,Thursday,16:30,21:30,59
m,Thursday,08:30,15:00,79
k,Monday,03:30,12:00,93
h,Monday,04:30,12:00,72
d,Thursday,10:00,17:30,63
k,Friday,12:30,17:30,67
d,Saturday,00:30,07:00,74
g,Friday,08:30,18:00,60
m,Sunday,17:30,23:00,74
m,Wednesday,13:30,20:30,68
d,Tuesday,10:00,17:30,97
d,Monday,15:00,22:00,71
o,Sunday,10:30,17:30,76
k,Wednesday,00:30,07:30,75
h,Thursday,07:30,17:30,54
d,Sunday,14:30,23:30,51
e,Tuesday,07:00,13:30,56
l,Sunday,01:00,09:00,83
p,Thursday,10:30,20:00,68
i,Friday,14:00,20:30,54
e,Thursday,13:00,19:30,59
g,Tuesday,11:00,20:30,55
s,Thursday,12:30,20:00,80
b,Friday,07:30,17:30,82
q,Wednesday,03:00,11:30,70
b,Tuesday,01:30,08:30,67
g,Sunday,12:30,19:30,54
q,Monday,13:00,21:00,94
q,Friday,10:00,18:30,83
d,Tuesday,02:00,11:00,87
g,Saturday,11:30,18:30,53
t,Friday,13:00,22:00,53
j,Saturday,12:00,19:30,54
r,Sunday,08:30,18:30,70
b,Sunday,10:00,15:00,97
q,Monday,11:00,19:00,56
n,Saturday,10:30,16:00,95
j,Thursday,14:30,22:30,84
c,Saturday,04:00,14:00,98
j,Monday,12:30,21:00,57
k,Thursday,13:30,20:00,90
j,Saturday,11:00,18:00,71
g,Friday,15:00,22:00,83
t,Sunday,05:00,12:30,68
c,Saturday,00:30,06:30,52
a,Thursday,00:00,06:00,97
s,Thursday,15:30,23:00,53
l,Wednesday,14:00,19:30,84
a,Monday,04:00,10:30,83
d,Tuesday,07:00,13:30,98
q,Thursday,10:30,18:00,67
a,Sunday,02:00,11:00,84
b,Sunday,02:00,12:00,73
m,Sunday,13:00,19:30,55
g,Wednesday,14:30,23:00,64
s,Monday,11:30,18:00,74
d,Friday,09:30,15:00,79
s,Thursday,10:00,18:00,94
p,Monday,05:30,14:30,85
l,Saturday,12:00,17:30,84
h,Wednesday,06:00,11:30,97
a,Friday,14:00,21:00,58
m,Tuesday,16:30,23:30,95
f,Thursday,04:30,14:30,61
f,Tuesday,15:00,23:00,86
l,Friday,08:00,14:30,68
s,Sunday,11:30,17:00,85
b,Wednesday,06:00,12:30,60
e,Friday,05:30,11:30,89
g,Wednesday,12:00,18:30,54
k,Friday,09:30,18:00,89
g,Monday,00:30,05:30,94
k,Friday,12:00,19:30,97
s,Sunday,06:00,12:30,57
d,Tuesday,04:30,10:30,91
j,Sunday,15:00,21:00,86
o,Wednesday,00:30,07:00,69
c,Wednesday,02:00,10:00,100
j,Tuesday,03:30,13:00,69
n,Wednesday,06:00,13:00,56
s,Monday,03:30,13:00,85
s,Friday,02:00,10:00,67
m,Tuesday,02:00,11:30,91
a,Friday,05:30,12:30,80
p,Saturday,10:30,18:00,63
m,Thursday,01:30,07:30,78
a,Wednesday,05:30,11:30,78
b,Saturday,13:00,22:00,94
o,Thursday,04:30,13:00,54
r,Wednesday,03:00,13:00,99
p,Friday,12:30,19:30,70
a,Thursday,00:30,09:30,54
l,Friday,04:00,11:00,89
q,Thursday,13:30,20:30,92
t,Sunday,06:00,13:00,91
q,Wednesday,11:00,17:30,86
j,Sunday,06:30,16:30,60
k,Friday,01:30,10:30,95
i,Tuesday,02:30,11:00,89
k,Wednesday,05:30,15:30,90
d,Thursday,00:00,10:00,84
f,Sunday,08:30,16:30,90
t,Wednesday,11:30,20:00,50
g,Wednesday,11:30,20:30,52
g,Wednesday,10:00,18:00,66
s,Tuesday,06:30,12:00,55
f,Wednesday,11:30,16:30,88
s,Thursday,13:30,20:00,95
s,Friday,16:30,23:00,94
a,Tuesday,07:30,15:00,98
g,Tuesday,11:00,21:00,85
l,Monday,10:00,20:00,98
o,Thursday,13:30,19:00,59
a,Thursday,09:00,14:30,97
j,Monday,04:00,09:00,91
g,Sunday,05:00,14:30,93
o,Tuesday,11:00,17:00,53
o,Sunday,10:30,19:30,100
e,Saturday,04:00,09:30,79
l,Monday,06:00,12:30,72
e,Wednesday,06:00,11:00,55
j,Monday,00:00,08:00,62
s,Friday,05:30,12:30,95
a,Sunday,06:00,15:30,53
t,Tuesday,12:30,22:00,65
m,Thursday,08:30,13:30,90
b,Friday,09:30,16:00,73
s,Friday,05:30,13:30,82
q,Thursday,13:30,23:30,73
e,Thursday,05:00,12:00,71
j,Thursday,05:00,14:30,58
q,Sunday,00:00,07:30,90
m,Tuesday,15:00,20:30,67
c,Friday,14:00,21:30,83
f,Saturday,10:30,17:30,69
s,Saturday,11:00,18:30,56
t,Tuesday,15:00,22:30,53
d,Friday,09:00,15:30,60
h,Monday,14:00,20:30,70
j,Friday,13:00,20:00,98
i,Thursday,08:00,15:00,61
m,Monday,11:30,19:30,54
k,Sunday,02:30,10:00,82
i,Tuesday,09:00,18:30,96
d,Sunday,11:00,19:30,100
j,Sunday,03:00,11:30,82
p,Saturday,13:00,20:30,91
g,Friday,07:30,17:00,52
e,Sunday,09:00,16:00,57
n,Wednesday,02:00,12:00,61
c,Sunday,14:30,23:00,60
q,Monday,01:00,07:00,77
p,Sunday,10:30,17:00,86
f,Thursday,07:30,12:30,87
k,Sunday,07:30,13:00,93
l,Thursday,02:00,10:00,84
t,Sunday,06:30,14:30,80
g,Tuesday,10:30,16:00,97
p,Wednesday,05:30,14:00,95
p,Sunday,14:30,23:00,74
q,Thursday,10:00,17:30,50
a,Tuesday,12:30,22:30,63
f,Thursday,00:30,06:30,54
j,Monday,12:00,22:00,77
l,Saturday,06:00,15:30,50
n,Sunday,13:30,19:30,56
t,Monday,13:30,18:30,79
a,Monday,02:30,10:30,100
k,Saturday,14:30,21:00,73
s,Wednesday,02:00,11:30,55
t,Wednesday,06:30,16:30,66
k,Wednesday,06:30,16:30,98
o,Wednesday,07:30,13:30,52
r,Sunday,06:30,12:30,91
h,Thursday,11:30,18:30,94
s,Saturday,01:30,10:30,72
c,Sunday,04:30,11:00,71
m,Friday,15:00,20:00,53
g,Saturday,08:00,14:30,87
k,Wednesday,12:00,17:00,75
c,Saturday,07:00,12:30,60
e,Monday,14:30,21:30,92
p,Friday,03:30,11:00,56
f,Sunday,00:30,10:00,58
j,Monday,08:00,13:00,94
o,Thursday,11:30,20:30,95
c,Monday,14:00,21:30,59
l,Friday,04:00,09:30,75
a,Friday,00:00,09:00,61
q,Saturday,01:00,07:00,82
r,Tuesday,07:00,13:00,79
n,Wednesday,14:00,20:30,78
b,Monday,00:00,09:30,52
q,Saturday,04:30,14:00,71
t,Saturday,06:30,16:00,91
r,Wednesday,10:00,15:00,57
f,Thursday,12:00,22:00,62
m,Wednesday,01:30,10:30,87
l,Friday,14:30,19:30,63
a,Monday,16:00,23:00,64
h,Thursday,10:00,15:00,86
o,Tuesday,16:30,22:00,65
b,Saturday,05:00,13:30,78
s,Thursday,13:30,23:30,51
g,Tuesday,09:30,19:00,57
c,Monday,02:00,09:30,83
i,Saturday,07:30,16:30,84
e,Friday,07:00,16:30,100
h,Wednesday,03:30,10:00,56
c,Sunday,07:00,14:30,85
p,Monday,04:00,11:00,99
s,Thursday,09:00,15:00,100
k,Wednesday,09:30,19:30,52
d,Friday,01:00,08:00,79
o,Friday,09:00,15:00,70
n,Thursday,12:00,19:30,64
f,Saturday,11:00,18:00,100
d,Friday,05:00,14:00,88
j,Friday,09:00,16:00,99
h,Thursday,09:00,14:30,85
p,Monday,04:00,12:30,100
m,Sunday,02:00,12:00,91
m,Friday,11:30,21:30,88
n,Friday,07:00,13:00,81
b,Monday,08:30,17:00,92
m,Thursday,14:30,20:30,56
t,Wednesday,12:30,18:30,72
j,Wednesday,13:30,21:30,58
k,Wednesday,14:00,20:30,66
l,Thursday,03:30,09:30,79
e,Saturday,14:30,19:30,81
t,Monday,13:00,23:00,90
e,Tuesday,02:00,08:00,60
m,Sunday,11:00,19:30,99
t,Sunday,05:00,10:00,62
f,Thursday,04:00,09:30,85
t,Tuesday,00:00,09:30,65
f,Sunday,01:00,11:00,75
o,Thursday,05:30,12:30,73
g,Sunday,17:00,22:30,72
o,Saturday,05:00,14:00,98
d,Wednesday,14:30,23:00,54
r,Sunday,01:30,10:00,87
b,Monday,11:00,17:00,75
o,Tuesday,06:00,13:00,70
m,Friday,11:30,20:30,74
k,Sunday,09:30,18:30,62
s,Sunday,12:00,20:00,80
g,Wednesday,02:00,09:00,50
b,Saturday,12:00,21:00,57
n,Monday,01:00,07:00,58
g,Thursday,01:30,09:00,90
h,Friday,01:30,09:00,80
t,Thursday,00:00,10:00,64
c,Wednesday,07:00,15:00,90
o,Sunday,17:00,22:00,95
h,Monday,08:00,15:30,68
i,Wednesday,01:30,09:00,61
f,Saturday,03:00,09:00,68
m,Wednesday,04:30,13:30,67
g,Sunday,05:30,13:00,55
a,Saturday,14:30,21:30,71
e,Friday,17:00,23:00,57
n,Monday,08:30,18:30,80
t,Tuesday,13:30,23:00,54
o,Wednesday,11:30,16:30,77
a,Sunday,10:30,20:00,60
h,Sunday,04:00,11:00,57
o,Tuesday,05:30,13:30,97
m,Sunday,11:30,17:30,51
l,Wednesday,06:00,14:30,77
g,Sunday,08:30,13:30,77
s,Saturday,11:30,21:00,66
i,Wednesday,12:00,19:30,70
s,Friday,03:30,12:30,99
l,Wednesday,13:30,21:00,77
b,Sunday,15:30,20:30,91
s,Sunday,13:30,19:00,71
h,Sunday,01:00,10:00,83
e,Monday,13:00,20:00,50
k,Sunday,11:30,20:00,86
j,Sunday,08:30,15:00,95
e,Friday,10:30,17:30,54
a,Monday,02:30,12:30,92
a,Saturday,01:00,08:30,53
f,Monday,00:30,08:00,56
c,Wednesday,04:00,12:30,95
s,Tuesday,11:30,21:30,94
a,Wednesday,13:00,19:00,98
t,Sunday,09:00,14:30,86
l,Tuesday,18:00,23:00,88
j,Sunday,09:30,18:00,73
s,Thursday,06:30,13:00,54
g,Monday,08:30,18:00,74
c,Friday,10:00,19:00,100
c,Wednesday,03:00,11:00,59
n,Friday,10:30,17:00,69
c,Tuesday,08:00,16:30,82
m,Tuesday,00:30,10:30,82
j,Wednesday,00:00,09:30,51
d,Friday,05:30,11:00,86
k,Thursday,06:00,13:00,62
j,Thursday,10:00,18:00,81
n,Saturday,03:30,13:30,71
i,Saturday,13:30,23:30,55
q,Friday,11:00,17:30,87
a,Monday,06:00,13:30,53
t,Saturday,01:00,07:00,63
l,Wednesday,09:00,19:00,50
j,Friday,11:30,17:30,87
n,Monday,14:00,21:00,79
d,Thursday,12:00,21:30,78
s,Monday,15:30,22:30,78
h,Thursday,04:30,12:00,60
k,Tuesday,13:30,21:00,90
p,Thursday,13:00,21:30,66
g,Monday,16:30,21:30,80
p,Sunday,10:00,15:00,60
o,Tuesday,12:00,20:00,53
c,Wednesday,06:00,13:00,82
o,Friday,10:30,19:30,74
f,Sunday,08:00,18:00,92
s,Friday,10:30,19:00,77
s,Saturday,10:30,16:30,80
d,Tuesday,10:30,17:30,68
q,Saturday,06:30,14:30,86
s,Saturday,03:30,08:30,100
j,Thursday,02:00,10:30,51
l,Saturday,08:30,14:30,64
o,Monday,05:30,14:00,86
m,Friday,13:00,23:00,94
f,Wednesday,13:00,19:00,88
i,Sunday,05:30,12:30,55
g,Tuesday,13:00,18:30,50
j,Saturday,12:30,18:30,98
d,Thursday,06:00,14:30,73
d,Monday,04:30,12:30,87
d,Friday,04:30,11:30,92
f,Friday,06:00,12:30,90
g,Wednesday,12:00,20:00,82
f,Sunday,17:30,23:00,68
f,Wednesday,14:00,22:30,91
k,Saturday,14:00,23:00,99
n,Wednesday,06:30,12:00,86
q,Thursday,04:00,09:30,89
